	ID	Strain	Age	Weight	Clutch	shh_R2_spot	shh_M1_spot	shh_M2_spot	cap_transition	M1_spot_split_LR	shboob	Total_state	stateord	Symmetry	groupwt
178	shh_14.0_03_163-167_FB	FVB	14.0	165	FB	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	Y	162
179	shh_14.0_04_163-167_FB	FVB	14.0	165	FB	1	0	0	0	0	1	1_0_0_1	179_1_0_0_1	-	179
180	shh_14.0_06_171-178_FB	FVB	14.0	174.5	FB	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	Y	162
181	shh_14.0_08_141_FJ	FVB	14.0	141	FJ	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	Y	162
182	shh_14.0_09_148_FJ	FVB	14.0	148	FJ	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	Y	162
183	shh_14.5_21_186_DAD	DUHi	14.5	186	DAD	1	0	0	0	0	1	1_0_0_1	179_1_0_0_1	y	179
184	shh_14.5_22_191_DAD	DUHi	14.5	191	DAD	1	0	0	0	0	1	1_0_0_1	179_1_0_0_1	y	179
185	shh_14.5_23_217_DAD	DUHi	14.5	217	DAD	1	0	0	0	0	1	1_0_0_1	179_1_0_0_1	-	179
186	shh_15.5_17_353_DAC	DUHi	15.5	353	DAC	0	2	0	2	1	1	0_2_2_1	325_0_2_2_1	y	325
187	shh_13.5_13_107_DZ	DUHi	13.5	107	DZ	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	y	123
188	shh_14.0_26_126_DAA	DUHi	14.0	126	DAA	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	y	123
189	shh_15.5_18_257_DAC	DUHi	15.5	257	DAC	0	2	0	2	1	1	0_2_2_1	325_0_2_2_1	y	325
190	shh_13.0_01_90_FX	FVB	13.0	90	FX	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	y	97
191	shh_14.5_06_218_FZ	FVB	14.5	218	FZ	0	2	0	1	0	1	0_2_1_1	227_0_2_1_1	y	227
192	shh_14.5_14_190_FZ	FVB	14.5	190	FZ	0	2	0	1	0	1	0_2_1_1	227_0_2_1_1	y	227
193	shh_14.5_16_310_FW	FVB	14.5	310	FW	0	2	0	2	1	1	0_2_2_1	325_0_2_2_1	-	325
194	shh_14.5_17_325_FW	FVB	14.5	325	FW	0	2	0	2	1	1	0_2_2_1	325_0_2_2_1	-	325
195	shh_14.5_18_340_FW	FVB	14.5	340	FW	0	2	0	2	1	1	0_2_2_1	325_0_2_2_1	-	325
196	shh_14.5_19_349_FW	FVB	14.5	349	FW	0	2	0	2	2	1	0_2_2_1	325_0_2_2_1	-	325
197	shh_14.5_20_332_FS	FVB	14.5	332	FS	0	2	0	2	1	1	0_2_2_1	325_0_2_2_1	y	325
198	shh_14.5_21_344_FS	FVB	14.5	344	FS	0	2	0	2	1	1	0_2_2_1	325_0_2_2_1	y	325
199	shh_14.5_22_353_FS	FVB	14.5	353	FS	0	2	0	2	2	1	0_2_2_1	325_0_2_2_1	y	325
200	shh_14.5_24_359_FS	FVB	14.5	359	FS	0	2	0	2	2	1	0_2_2_1	325_0_2_2_1	y	325
201	shh_14.5_25_373_FS	FVB	14.5	373	FS	0	2	0	2	2	1	0_2_2_1	325_0_2_2_1	-	325
202	shh_15.0_10_151_FAA	FVB	15.0	151	FAA	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	-	162
203	shh_15.0_11_229_FAA	FVB	15.0	229	FAA	0	2	0	1	0	1	0_2_1_1	227_0_2_1_1	-	227
204	shh_15.0_13_241_FAA	FVB	15.0	241	FAA	0	2	0	2	0	1	0_2_2_1	325_0_2_2_1	-	325
205	shh_15.0_14_248_FAA	FVB	15.0	248	FAA	0	2	0	2	1	1	0_2_2_1	325_0_2_2_1	y	325
206	shh_15.0_15_249_FAA	FVB	15.0	249	FAA	0	2	0	2	1	1	0_2_2_1	325_0_2_2_1	y	325
207	shh_15.0_16_257_FAA	FVB	15.0	257	FAA	0	2	0	2	1	1	0_2_2_1	325_0_2_2_1	-	325
208	shh_15.0_17_258_FAA	FVB	15.0	258	FAA	0	2	0	2	1	1	0_2_2_1	325_0_2_2_1	-	325
209	shh_14.5_26_290_FW	FVB	14.5	290	FW	0	2	0	2	1	1	0_2_2_1	325_0_2_2_1	y	325
210	shh_13.5_14_89_DC	DUHi	13.5	89	DC	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
211	shh_13.5_16_95_DC	DUHi	13.5	95	DC	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
